set_boundary,num_reps,context,trigger,query,neg,log_likelihood,negation_probability,probability_query_observed
3,500,bag,chalk,pen,1,-0.10092591858996053,0.904,0.904
3,500,bag,pen,makeup,1,-2.385966701933097,0.092,0.092
3,500,bag,headphones,makeup,0,-1.7259717286900516,0.822,0.17800000000000005
3,500,bag,headphones,makeup,0,-1.7259717286900516,0.822,0.17800000000000005
3,500,bag,headphones,makeup,1,-0.1960148839259572,0.822,0.822
3,500,bag,headphones,pen,1,-0.012072581234269249,0.988,0.988
3,500,bag,headphones,chalk,1,-0.164874643190234,0.848,0.848
3,500,bag,headphones,makeup,0,-1.7259717286900516,0.822,0.17800000000000005
3,500,bag,pen,chalk,0,-0.10092591858996053,0.096,0.904
3,500,bag,headphones,makeup,0,-1.7259717286900516,0.822,0.17800000000000005
3,500,bag,headphones,makeup,0,-1.7259717286900516,0.822,0.17800000000000005
3,500,bag,headphones,makeup,1,-0.1960148839259572,0.822,0.822
3,500,bag,pen,makeup,0,-0.09651090038084373,0.092,0.908
3,500,bag,pen,chalk,1,-2.3434070875143007,0.096,0.096
3,500,bag,headphones,pen,1,-0.012072581234269249,0.988,0.988
3,500,bag,chalk,headphones,1,-1.8838747581358606,0.152,0.152
3,500,bag,makeup,pen,1,-0.09651090038084373,0.908,0.908
3,500,bag,pen,headphones,0,-0.012072581234269249,0.012,0.988
3,500,bag,pen,chalk,0,-0.10092591858996053,0.096,0.904
3,500,bag,pen,chalk,1,-2.3434070875143007,0.096,0.096
3,500,bag,pen,makeup,0,-0.09651090038084373,0.092,0.908
3,500,bag,pen,headphones,0,-0.012072581234269249,0.012,0.988
3,500,bag,headphones,makeup,0,-1.7259717286900516,0.822,0.17800000000000005
3,500,bag,pen,chalk,1,-2.3434070875143007,0.096,0.096
3,500,bag,pen,chalk,1,-2.3434070875143007,0.096,0.096
3,500,bag,pen,chalk,1,-2.3434070875143007,0.096,0.096
3,500,bag,chalk,makeup,1,-0.7298111649315367,0.482,0.482
3,500,bag,headphones,chalk,0,-1.8838747581358604,0.848,0.15200000000000002
3,500,bag,pen,headphones,0,-0.012072581234269249,0.012,0.988
3,500,bag,makeup,pen,1,-0.09651090038084373,0.908,0.908
3,500,bag,pen,chalk,1,-2.3434070875143007,0.096,0.096
3,500,bag,pen,chalk,1,-2.3434070875143007,0.096,0.096
3,500,bag,pen,chalk,1,-2.3434070875143007,0.096,0.096
3,500,bag,pen,chalk,1,-2.3434070875143007,0.096,0.096
3,500,bag,headphones,chalk,0,-1.8838747581358604,0.848,0.15200000000000002
3,500,bag,chalk,pen,1,-0.10092591858996053,0.904,0.904
3,500,bag,chalk,makeup,0,-0.657780036722654,0.482,0.518
3,500,bag,pen,makeup,0,-0.09651090038084373,0.092,0.908
3,500,bag,makeup,headphones,0,-0.19601488392595706,0.178,0.8220000000000001
3,500,bag,headphones,makeup,0,-1.7259717286900516,0.822,0.17800000000000005
3,500,bag,headphones,makeup,0,-1.7259717286900516,0.822,0.17800000000000005
3,500,bag,headphones,makeup,0,-1.7259717286900516,0.822,0.17800000000000005
3,500,bag,headphones,pen,1,-0.012072581234269249,0.988,0.988
3,500,bag,headphones,makeup,0,-1.7259717286900516,0.822,0.17800000000000005
3,500,bag,pen,makeup,0,-0.09651090038084373,0.092,0.908
3,500,bag,makeup,chalk,1,-0.657780036722654,0.518,0.518
3,500,bag,pen,headphones,0,-0.012072581234269249,0.012,0.988
3,500,bag,pen,chalk,1,-2.3434070875143007,0.096,0.096
3,500,bag,chalk,headphones,0,-0.164874643190234,0.152,0.848
3,500,bag,chalk,pen,1,-0.10092591858996053,0.904,0.904
3,500,bag,chalk,headphones,0,-0.164874643190234,0.152,0.848
3,500,bag,headphones,makeup,0,-1.7259717286900516,0.822,0.17800000000000005
3,500,bag,chalk,makeup,0,-0.657780036722654,0.482,0.518
3,500,bag,chalk,headphones,0,-0.164874643190234,0.152,0.848
3,500,bag,pen,chalk,1,-2.3434070875143007,0.096,0.096
3,500,bag,chalk,pen,1,-0.10092591858996053,0.904,0.904
3,500,bag,headphones,pen,1,-0.012072581234269249,0.988,0.988
3,500,bag,pen,chalk,1,-2.3434070875143007,0.096,0.096
3,500,bag,headphones,makeup,0,-1.7259717286900516,0.822,0.17800000000000005
3,500,bag,pen,makeup,0,-0.09651090038084373,0.092,0.908
3,500,bag,headphones,pen,1,-0.012072581234269249,0.988,0.988
3,500,bag,headphones,makeup,1,-0.1960148839259572,0.822,0.822
3,500,bag,pen,chalk,1,-2.3434070875143007,0.096,0.096
3,500,bag,chalk,headphones,0,-0.164874643190234,0.152,0.848
3,500,bag,pen,chalk,1,-2.3434070875143007,0.096,0.096
3,500,bag,pen,chalk,1,-2.3434070875143007,0.096,0.096
